logbookId,projectId,logType,logStatus,severity,ownerName,createdDate,resolvedDate,summaryText,sourceSystem
LB-00206,PJ-100-02-01,Assumption,Open,Critical,M. Chen,2026-08-21,,Vendor dependency may impact release schedule,SyntheticPlanview
LB-00207,PJ-300-01-03,Decision,Open,Medium,S. Jones,2026-01-20,,Budget variance requires follow-up with finance,SyntheticPlanview
LB-00208,PJ-200-01-02,Risk,Open,Medium,A. Smith,2026-04-29,,Budget variance requires follow-up with finance,SyntheticPlanview
LB-00209,PJ-200-02-04,Risk,Mitigated,Low,A. Smith,2026-07-25,2026-08-22,Vendor dependency may impact release schedule,SyntheticPlanview
LB-00210,PJ-100-02-04,Decision,In Review,High,S. Jones,2026-06-19,,Implementation team blocked by missing requirement,SyntheticPlanview
LB-00211,PJ-200-01-03,Decision,Open,High,M. Chen,2026-08-13,,Vendor dependency may impact release schedule,SyntheticPlanview
LB-00212,PJ-200-03-01,Dependency,Closed,Critical,S. Jones,2026-04-13,2026-05-01,Change request approved by steering group,SyntheticPlanview
LB-00213,PJ-100-03-01,Risk,In Review,Medium,A. Smith,2026-01-29,,Security review pending for integration approach,SyntheticPlanview
LB-00214,PJ-300-02-03,Dependency,Blocked,Medium,L. Brown,2026-05-04,,Security review pending for integration approach,SyntheticPlanview
LB-00215,PJ-200-02-03,Issue,Open,Critical,S. Jones,2026-06-06,,Vendor dependency may impact release schedule,SyntheticPlanview
LB-00216,PJ-200-03-02,Risk,Open,High,K. Davis,2026-04-23,,Budget variance requires follow-up with finance,SyntheticPlanview
LB-00217,PJ-100-01-01,Assumption,Blocked,Medium,K. Davis,2026-06-30,,Budget variance requires follow-up with finance,SyntheticPlanview
LB-00218,PJ-300-01-04,Risk,Blocked,Critical,K. Davis,2026-05-14,,Change request approved by steering group,SyntheticPlanview
LB-00219,PJ-200-01-01,Dependency,Mitigated,Medium,L. Brown,2026-05-04,2026-06-16,Implementation team blocked by missing requirement,SyntheticPlanview
LB-00220,PJ-100-01-04,Assumption,In Review,Critical,S. Jones,2026-01-03,,Data mapping requires architecture decision,SyntheticPlanview
LB-00221,PJ-100-01-05,Issue,Closed,High,R. Patel,2026-07-12,2026-08-02,Vendor dependency may impact release schedule,SyntheticPlanview
LB-00222,PJ-300-01-03,Dependency,Blocked,Critical,M. Chen,2026-02-27,,Vendor dependency may impact release schedule,SyntheticPlanview
LB-00223,PJ-200-03-05,Dependency,Blocked,Low,S. Jones,2026-04-24,,Security review pending for integration approach,SyntheticPlanview
LB-00224,PJ-200-02-01,Risk,Closed,Low,S. Jones,2026-01-31,2026-03-14,Security review pending for integration approach,SyntheticPlanview
LB-00225,PJ-100-01-03,Risk,Blocked,Low,L. Brown,2026-05-23,,Implementation team blocked by missing requirement,SyntheticPlanview
LB-00226,PJ-300-03-01,Assumption,Blocked,Medium,K. Davis,2026-03-19,,Change request approved by steering group,SyntheticPlanview
LB-00227,PJ-200-03-05,Issue,Mitigated,Critical,R. Patel,2026-03-29,2026-04-02,Implementation team blocked by missing requirement,SyntheticPlanview
LB-00228,PJ-300-02-05,Decision,Closed,Critical,A. Smith,2026-06-03,2026-07-16,Vendor dependency may impact release schedule,SyntheticPlanview
LB-00229,PJ-300-03-03,Decision,Open,High,K. Davis,2026-02-26,,Budget variance requires follow-up with finance,SyntheticPlanview
LB-00230,PJ-300-02-01,Risk,Mitigated,Low,M. Chen,2026-05-14,2026-06-28,Security review pending for integration approach,SyntheticPlanview
LB-00231,PJ-100-02-04,Decision,Closed,Medium,M. Chen,2026-07-30,2026-08-06,Vendor dependency may impact release schedule,SyntheticPlanview
LB-00232,PJ-200-03-01,Decision,Closed,Low,S. Jones,2026-02-25,2026-03-10,Vendor dependency may impact release schedule,SyntheticPlanview
LB-00233,PJ-300-03-01,Risk,Blocked,Critical,S. Jones,2026-08-03,,Change request approved by steering group,SyntheticPlanview
LB-00234,PJ-300-02-03,Dependency,In Review,Low,L. Brown,2026-05-10,,Change request approved by steering group,SyntheticPlanview
LB-00235,PJ-100-01-04,Dependency,Closed,Medium,K. Davis,2026-05-22,2026-06-29,Implementation team blocked by missing requirement,SyntheticPlanview
LB-00236,PJ-100-03-02,Risk,In Review,Critical,K. Davis,2026-07-07,,Implementation team blocked by missing requirement,SyntheticPlanview
LB-00237,PJ-300-02-04,Dependency,Mitigated,Critical,L. Brown,2026-08-14,2026-09-16,Change request approved by steering group,SyntheticPlanview
LB-00238,PJ-200-01-01,Decision,Closed,Critical,M. Chen,2026-03-12,2026-04-03,Data mapping requires architecture decision,SyntheticPlanview
LB-00239,PJ-200-03-02,Decision,Blocked,High,K. Davis,2026-06-04,,Change request approved by steering group,SyntheticPlanview
LB-00240,PJ-300-02-01,Issue,In Review,Medium,L. Brown,2026-06-11,,Change request approved by steering group,SyntheticPlanview
LB-00241,PJ-200-01-04,Issue,Mitigated,Medium,L. Brown,2026-06-25,2026-08-08,Implementation team blocked by missing requirement,SyntheticPlanview
LB-00242,PJ-300-03-05,Decision,Mitigated,Critical,L. Brown,2026-06-13,2026-06-21,Implementation team blocked by missing requirement,SyntheticPlanview
LB-00243,PJ-300-03-03,Assumption,Closed,High,S. Jones,2026-07-01,2026-08-14,Vendor dependency may impact release schedule,SyntheticPlanview
LB-00244,PJ-300-01-04,Dependency,Open,Medium,A. Smith,2026-01-28,,Change request approved by steering group,SyntheticPlanview
LB-00245,PJ-100-01-04,Decision,Mitigated,High,M. Chen,2026-02-21,2026-03-04,Vendor dependency may impact release schedule,SyntheticPlanview
LB-00246,PJ-300-03-05,Assumption,Mitigated,Low,R. Patel,2026-07-20,2026-08-03,Security review pending for integration approach,SyntheticPlanview
LB-00247,PJ-100-02-02,Issue,Blocked,Critical,M. Chen,2026-06-07,,Implementation team blocked by missing requirement,SyntheticPlanview
LB-00248,PJ-300-03-05,Dependency,Open,Critical,S. Jones,2026-03-15,,Change request approved by steering group,SyntheticPlanview
LB-00249,PJ-200-02-01,Risk,Open,High,M. Chen,2026-05-22,,Implementation team blocked by missing requirement,SyntheticPlanview
LB-00250,PJ-200-03-04,Decision,In Review,Medium,K. Davis,2026-08-01,,Data mapping requires architecture decision,SyntheticPlanview
LB-00251,PJ-200-01-04,Risk,In Review,Medium,M. Chen,2026-04-25,,Change request approved by steering group,SyntheticPlanview
LB-00252,PJ-300-01-03,Dependency,Closed,High,L. Brown,2026-01-31,2026-02-03,Budget variance requires follow-up with finance,SyntheticPlanview
LB-00253,PJ-100-02-04,Decision,Blocked,Low,R. Patel,2026-02-11,,Security review pending for integration approach,SyntheticPlanview
LB-00254,PJ-100-02-05,Decision,In Review,Low,K. Davis,2026-01-11,,Implementation team blocked by missing requirement,SyntheticPlanview
LB-00255,PJ-300-03-03,Assumption,Closed,High,A. Smith,2026-03-19,2026-04-25,Change request approved by steering group,SyntheticPlanview
LB-00256,PJ-200-02-01,Issue,In Review,Low,L. Brown,2026-05-15,,Data mapping requires architecture decision,SyntheticPlanview
LB-00257,PJ-200-03-02,Dependency,Blocked,Low,R. Patel,2026-05-20,,Data mapping requires architecture decision,SyntheticPlanview
LB-00258,PJ-100-03-04,Decision,Mitigated,High,M. Chen,2026-06-19,2026-07-11,Implementation team blocked by missing requirement,SyntheticPlanview
LB-00259,PJ-300-01-04,Risk,Blocked,Low,K. Davis,2026-05-02,,Budget variance requires follow-up with finance,SyntheticPlanview
LB-00260,PJ-200-03-04,Assumption,Blocked,Medium,A. Smith,2026-03-03,,Change request approved by steering group,SyntheticPlanview
LB-00261,PJ-200-02-01,Dependency,Open,High,L. Brown,2026-04-08,,Change request approved by steering group,SyntheticPlanview
LB-00262,PJ-200-01-04,Decision,Blocked,Critical,S. Jones,2026-01-07,,Vendor dependency may impact release schedule,SyntheticPlanview
LB-00263,PJ-200-01-04,Decision,In Review,Low,A. Smith,2026-08-18,,Data mapping requires architecture decision,SyntheticPlanview
LB-00264,PJ-300-01-05,Risk,Open,Medium,K. Davis,2026-05-17,,Change request approved by steering group,SyntheticPlanview
LB-00265,PJ-100-03-04,Issue,Closed,Critical,K. Davis,2026-08-10,2026-08-17,Vendor dependency may impact release schedule,SyntheticPlanview
LB-00266,PJ-300-03-04,Dependency,Open,High,A. Smith,2026-02-09,,Vendor dependency may impact release schedule,SyntheticPlanview
LB-00267,PJ-100-01-05,Decision,In Review,Low,L. Brown,2026-01-14,,Data mapping requires architecture decision,SyntheticPlanview
LB-00268,PJ-200-01-02,Dependency,Closed,Critical,R. Patel,2026-04-15,2026-05-14,Vendor dependency may impact release schedule,SyntheticPlanview
LB-00269,PJ-200-02-05,Assumption,Open,Low,K. Davis,2026-06-22,,Change request approved by steering group,SyntheticPlanview
LB-00270,PJ-300-02-05,Risk,Blocked,Low,R. Patel,2026-01-17,,Implementation team blocked by missing requirement,SyntheticPlanview
LB-00271,PJ-100-02-02,Risk,Mitigated,High,S. Jones,2026-03-16,2026-04-24,Security review pending for integration approach,SyntheticPlanview
LB-00272,PJ-200-03-01,Dependency,Open,Medium,L. Brown,2026-07-30,,Data mapping requires architecture decision,SyntheticPlanview
LB-00273,PJ-100-02-04,Decision,Closed,Medium,R. Patel,2026-07-11,2026-08-15,Change request approved by steering group,SyntheticPlanview
LB-00274,PJ-300-03-02,Assumption,Open,Medium,A. Smith,2026-04-06,,Vendor dependency may impact release schedule,SyntheticPlanview
LB-00275,PJ-100-01-01,Dependency,Blocked,Low,R. Patel,2026-05-27,,Data mapping requires architecture decision,SyntheticPlanview
LB-00276,PJ-200-02-03,Assumption,Closed,Medium,M. Chen,2026-02-24,2026-04-07,Data mapping requires architecture decision,SyntheticPlanview
LB-00277,PJ-100-03-05,Risk,Mitigated,Medium,K. Davis,2026-06-07,2026-06-20,Implementation team blocked by missing requirement,SyntheticPlanview
LB-00278,PJ-100-01-04,Dependency,Blocked,Low,R. Patel,2026-08-06,,Change request approved by steering group,SyntheticPlanview
LB-00279,PJ-100-01-05,Issue,Open,Critical,R. Patel,2026-03-06,,Budget variance requires follow-up with finance,SyntheticPlanview
LB-00280,PJ-100-02-04,Risk,In Review,High,L. Brown,2026-06-21,,Vendor dependency may impact release schedule,SyntheticPlanview
LB-00281,PJ-100-03-03,Decision,Closed,High,K. Davis,2026-03-23,2026-04-21,Implementation team blocked by missing requirement,SyntheticPlanview
LB-00282,PJ-100-02-05,Decision,Blocked,High,S. Jones,2026-05-25,,Data mapping requires architecture decision,SyntheticPlanview
LB-00283,PJ-100-01-01,Issue,In Review,Critical,R. Patel,2026-03-22,,Budget variance requires follow-up with finance,SyntheticPlanview
LB-00284,PJ-100-02-04,Dependency,Mitigated,Critical,R. Patel,2026-06-23,2026-07-24,Budget variance requires follow-up with finance,SyntheticPlanview
LB-00285,PJ-300-01-02,Issue,Open,Low,R. Patel,2026-05-22,,Data mapping requires architecture decision,SyntheticPlanview
LB-00286,PJ-300-01-05,Risk,Mitigated,Low,A. Smith,2026-02-20,2026-04-02,Implementation team blocked by missing requirement,SyntheticPlanview
LB-00287,PJ-300-03-01,Assumption,Blocked,Critical,L. Brown,2026-01-08,,Data mapping requires architecture decision,SyntheticPlanview
LB-00288,PJ-100-01-03,Assumption,Mitigated,Critical,K. Davis,2026-05-22,2026-06-26,Data mapping requires architecture decision,SyntheticPlanview
LB-00289,PJ-200-02-04,Assumption,In Review,High,M. Chen,2026-04-11,,Security review pending for integration approach,SyntheticPlanview
LB-00290,PJ-300-01-03,Dependency,Open,High,L. Brown,2026-05-11,,Vendor dependency may impact release schedule,SyntheticPlanview
LB-00291,PJ-300-03-03,Issue,Blocked,Medium,S. Jones,2026-03-03,,Data mapping requires architecture decision,SyntheticPlanview
LB-00292,PJ-100-03-02,Issue,Blocked,Critical,R. Patel,2026-05-25,,Vendor dependency may impact release schedule,SyntheticPlanview
LB-00293,PJ-100-03-05,Risk,Closed,High,R. Patel,2026-07-14,2026-07-29,Data mapping requires architecture decision,SyntheticPlanview
LB-00294,PJ-100-01-03,Assumption,In Review,High,S. Jones,2026-06-21,,Security review pending for integration approach,SyntheticPlanview
LB-00295,PJ-200-03-05,Risk,Open,High,A. Smith,2026-08-14,,Change request approved by steering group,SyntheticPlanview
LB-00296,PJ-300-01-04,Assumption,Mitigated,Medium,S. Jones,2026-06-12,2026-06-29,Change request approved by steering group,SyntheticPlanview
LB-00297,PJ-200-02-05,Risk,Blocked,High,S. Jones,2026-04-04,,Data mapping requires architecture decision,SyntheticPlanview
LB-00298,PJ-300-01-04,Dependency,Mitigated,Critical,L. Brown,2026-04-14,2026-05-07,Vendor dependency may impact release schedule,SyntheticPlanview
LB-00299,PJ-300-01-03,Dependency,In Review,Medium,M. Chen,2026-08-14,,Vendor dependency may impact release schedule,SyntheticPlanview
LB-00300,PJ-300-01-03,Issue,Mitigated,Medium,M. Chen,2026-06-14,2026-06-28,Budget variance requires follow-up with finance,SyntheticPlanview
LB-00301,PJ-300-02-04,Issue,Open,Critical,R. Patel,2026-07-03,,Change request approved by steering group,SyntheticPlanview
LB-00302,PJ-100-02-03,Issue,Closed,Medium,K. Davis,2026-05-04,2026-06-04,Security review pending for integration approach,SyntheticPlanview
LB-00303,PJ-100-01-02,Issue,Open,Medium,M. Chen,2026-03-04,,Change request approved by steering group,SyntheticPlanview
LB-00304,PJ-300-01-03,Issue,Blocked,Low,M. Chen,2026-01-11,,Budget variance requires follow-up with finance,SyntheticPlanview
LB-00305,PJ-100-03-02,Assumption,Closed,Low,K. Davis,2026-05-13,2026-06-21,Change request approved by steering group,SyntheticPlanview
LB-00306,PJ-300-03-03,Issue,Mitigated,Critical,L. Brown,2026-07-30,2026-08-05,Security review pending for integration approach,SyntheticPlanview
LB-00307,PJ-300-01-01,Dependency,In Review,Medium,L. Brown,2026-02-13,,Data mapping requires architecture decision,SyntheticPlanview
LB-00308,PJ-300-02-05,Decision,Blocked,Medium,K. Davis,2026-06-18,,Change request approved by steering group,SyntheticPlanview
LB-00309,PJ-200-02-02,Assumption,Closed,Low,M. Chen,2026-08-25,2026-10-03,Security review pending for integration approach,SyntheticPlanview
LB-00310,PJ-200-02-05,Risk,Open,Medium,L. Brown,2026-02-03,,Implementation team blocked by missing requirement,SyntheticPlanview
LB-00311,PJ-300-03-04,Assumption,In Review,Low,M. Chen,2026-04-18,,Security review pending for integration approach,SyntheticPlanview
LB-00312,PJ-300-02-05,Assumption,Open,Low,A. Smith,2026-06-03,,Security review pending for integration approach,SyntheticPlanview
LB-00313,PJ-300-03-03,Assumption,Blocked,Low,K. Davis,2026-02-03,,Change request approved by steering group,SyntheticPlanview
LB-00314,PJ-200-03-03,Risk,Closed,Critical,M. Chen,2026-05-14,2026-06-07,Security review pending for integration approach,SyntheticPlanview
LB-00315,PJ-200-02-05,Assumption,Blocked,Low,S. Jones,2026-03-31,,Data mapping requires architecture decision,SyntheticPlanview
LB-00316,PJ-200-01-02,Risk,In Review,High,L. Brown,2026-05-03,,Implementation team blocked by missing requirement,SyntheticPlanview
LB-00317,PJ-200-03-02,Risk,In Review,Low,L. Brown,2026-03-07,,Implementation team blocked by missing requirement,SyntheticPlanview
LB-00318,PJ-100-02-03,Dependency,Open,Medium,K. Davis,2026-05-14,,Budget variance requires follow-up with finance,SyntheticPlanview
LB-00319,PJ-200-03-02,Issue,Open,Critical,K. Davis,2026-04-03,,Implementation team blocked by missing requirement,SyntheticPlanview
LB-00320,PJ-200-01-02,Dependency,Blocked,High,L. Brown,2026-03-08,,Budget variance requires follow-up with finance,SyntheticPlanview
LB-00321,PJ-300-03-04,Dependency,In Review,Critical,M. Chen,2026-04-12,,Budget variance requires follow-up with finance,SyntheticPlanview
LB-00322,PJ-300-02-01,Decision,Closed,High,K. Davis,2026-05-23,2026-06-09,Security review pending for integration approach,SyntheticPlanview
LB-00323,PJ-100-02-04,Issue,Open,Critical,K. Davis,2026-08-07,,Data mapping requires architecture decision,SyntheticPlanview
LB-00324,PJ-100-02-02,Dependency,Blocked,High,L. Brown,2026-02-24,,Implementation team blocked by missing requirement,SyntheticPlanview
LB-00325,PJ-300-03-05,Issue,Open,Critical,K. Davis,2026-06-25,,Vendor dependency may impact release schedule,SyntheticPlanview
LB-00326,PJ-100-02-01,Dependency,In Review,Critical,A. Smith,2026-07-30,,Vendor dependency may impact release schedule,SyntheticPlanview
LB-00327,PJ-200-01-02,Assumption,Mitigated,Low,K. Davis,2026-02-26,2026-03-04,Security review pending for integration approach,SyntheticPlanview
LB-00328,PJ-200-03-01,Decision,Blocked,Low,M. Chen,2026-06-07,,Change request approved by steering group,SyntheticPlanview
LB-00329,PJ-300-01-02,Issue,Open,High,M. Chen,2026-04-23,,Vendor dependency may impact release schedule,SyntheticPlanview
LB-00330,PJ-300-02-04,Issue,Blocked,Medium,K. Davis,2026-05-11,,Vendor dependency may impact release schedule,SyntheticPlanview
LB-00331,PJ-200-02-04,Issue,Open,Low,R. Patel,2026-03-03,,Security review pending for integration approach,SyntheticPlanview
LB-00332,PJ-200-02-03,Assumption,Closed,Medium,L. Brown,2026-06-21,2026-07-17,Vendor dependency may impact release schedule,SyntheticPlanview
LB-00333,PJ-100-01-05,Assumption,Open,High,K. Davis,2026-08-24,,Implementation team blocked by missing requirement,SyntheticPlanview
LB-00334,PJ-300-02-03,Issue,Mitigated,Medium,S. Jones,2026-03-31,2026-04-18,Security review pending for integration approach,SyntheticPlanview
LB-00335,PJ-300-02-02,Dependency,Mitigated,Low,L. Brown,2026-01-02,2026-01-14,Vendor dependency may impact release schedule,SyntheticPlanview
LB-00336,PJ-300-01-03,Assumption,Mitigated,High,L. Brown,2026-03-17,2026-03-25,Implementation team blocked by missing requirement,SyntheticPlanview
LB-00337,PJ-200-01-02,Assumption,Closed,Critical,M. Chen,2026-06-27,2026-07-22,Budget variance requires follow-up with finance,SyntheticPlanview
LB-00338,PJ-200-03-05,Risk,Closed,Critical,A. Smith,2026-06-24,2026-08-01,Budget variance requires follow-up with finance,SyntheticPlanview
LB-00339,PJ-100-01-05,Issue,In Review,High,S. Jones,2026-04-08,,Budget variance requires follow-up with finance,SyntheticPlanview
LB-00340,PJ-300-01-04,Decision,Open,Medium,R. Patel,2026-05-18,,Vendor dependency may impact release schedule,SyntheticPlanview
LB-00341,PJ-200-03-01,Assumption,Mitigated,Medium,S. Jones,2026-06-22,2026-06-27,Budget variance requires follow-up with finance,SyntheticPlanview
LB-00342,PJ-200-02-03,Decision,Blocked,Medium,K. Davis,2026-02-25,,Change request approved by steering group,SyntheticPlanview
LB-00343,PJ-100-03-03,Issue,In Review,Medium,R. Patel,2026-05-08,,Data mapping requires architecture decision,SyntheticPlanview
LB-00344,PJ-100-03-05,Assumption,In Review,High,M. Chen,2026-02-21,,Vendor dependency may impact release schedule,SyntheticPlanview
LB-00345,PJ-100-02-03,Dependency,Open,Low,L. Brown,2026-08-24,,Vendor dependency may impact release schedule,SyntheticPlanview
LB-00346,PJ-300-01-01,Decision,Blocked,Critical,L. Brown,2026-04-06,,Budget variance requires follow-up with finance,SyntheticPlanview
LB-00347,PJ-300-01-02,Decision,Blocked,Critical,M. Chen,2026-02-16,,Implementation team blocked by missing requirement,SyntheticPlanview
LB-00348,PJ-100-02-04,Dependency,Blocked,Critical,L. Brown,2026-01-14,,Vendor dependency may impact release schedule,SyntheticPlanview
LB-00349,PJ-300-01-03,Issue,Closed,Critical,A. Smith,2026-03-30,2026-05-13,Change request approved by steering group,SyntheticPlanview
LB-00350,PJ-300-01-04,Risk,Mitigated,Low,K. Davis,2026-04-28,2026-06-12,Data mapping requires architecture decision,SyntheticPlanview
LB-00351,PJ-200-02-05,Decision,Open,High,L. Brown,2026-05-29,,Budget variance requires follow-up with finance,SyntheticPlanview
LB-00352,PJ-100-03-02,Decision,Mitigated,Critical,L. Brown,2026-05-21,2026-06-06,Budget variance requires follow-up with finance,SyntheticPlanview
LB-00353,PJ-200-02-04,Issue,Closed,Critical,K. Davis,2026-02-17,2026-03-17,Budget variance requires follow-up with finance,SyntheticPlanview
LB-00354,PJ-200-02-04,Dependency,Closed,Medium,L. Brown,2026-08-07,2026-08-25,Data mapping requires architecture decision,SyntheticPlanview
LB-00355,PJ-300-02-02,Risk,In Review,High,M. Chen,2026-06-25,,Implementation team blocked by missing requirement,SyntheticPlanview
LB-00356,PJ-200-03-03,Issue,Closed,Medium,S. Jones,2026-08-08,2026-08-21,Vendor dependency may impact release schedule,SyntheticPlanview
LB-00357,PJ-100-03-02,Assumption,Closed,High,S. Jones,2026-04-18,2026-04-27,Budget variance requires follow-up with finance,SyntheticPlanview
LB-00358,PJ-200-01-02,Risk,Blocked,Critical,A. Smith,2026-05-24,,Change request approved by steering group,SyntheticPlanview
LB-00359,PJ-100-03-01,Decision,In Review,Critical,K. Davis,2026-01-16,,Vendor dependency may impact release schedule,SyntheticPlanview
LB-00360,PJ-200-03-04,Decision,Mitigated,High,L. Brown,2026-07-10,2026-07-27,Implementation team blocked by missing requirement,SyntheticPlanview
LB-00361,PJ-200-01-02,Dependency,Open,Low,R. Patel,2026-03-30,,Change request approved by steering group,SyntheticPlanview
LB-00362,PJ-300-02-04,Assumption,Blocked,Medium,R. Patel,2026-02-20,,Budget variance requires follow-up with finance,SyntheticPlanview
LB-00363,PJ-200-02-01,Dependency,Blocked,Critical,A. Smith,2026-06-22,,Security review pending for integration approach,SyntheticPlanview
LB-00364,PJ-300-02-05,Issue,Closed,Medium,K. Davis,2026-03-15,2026-04-25,Budget variance requires follow-up with finance,SyntheticPlanview
LB-00365,PJ-200-03-02,Assumption,Blocked,Critical,A. Smith,2026-06-11,,Vendor dependency may impact release schedule,SyntheticPlanview
LB-00366,PJ-100-03-01,Decision,In Review,High,K. Davis,2026-03-29,,Budget variance requires follow-up with finance,SyntheticPlanview
LB-00367,PJ-200-01-03,Dependency,Closed,High,K. Davis,2026-06-04,2026-06-22,Implementation team blocked by missing requirement,SyntheticPlanview
LB-00368,PJ-300-01-04,Issue,Closed,Low,M. Chen,2026-04-26,2026-05-07,Change request approved by steering group,SyntheticPlanview
LB-00369,PJ-200-01-01,Risk,Mitigated,Medium,M. Chen,2026-06-19,2026-08-03,Security review pending for integration approach,SyntheticPlanview
LB-00370,PJ-100-02-02,Dependency,Open,Low,A. Smith,2026-01-25,,Security review pending for integration approach,SyntheticPlanview
LB-00371,PJ-300-01-04,Risk,Open,High,L. Brown,2026-07-15,,Data mapping requires architecture decision,SyntheticPlanview
LB-00372,PJ-100-02-01,Issue,Closed,Medium,K. Davis,2026-06-17,2026-07-07,Budget variance requires follow-up with finance,SyntheticPlanview
LB-00373,PJ-200-03-04,Issue,In Review,Medium,A. Smith,2026-06-10,,Vendor dependency may impact release schedule,SyntheticPlanview
LB-00374,PJ-300-03-03,Dependency,Mitigated,High,L. Brown,2026-04-02,2026-05-03,Security review pending for integration approach,SyntheticPlanview
LB-00375,PJ-100-02-04,Issue,Blocked,Critical,K. Davis,2026-06-28,,Change request approved by steering group,SyntheticPlanview
LB-00376,PJ-300-03-01,Dependency,Blocked,High,R. Patel,2026-08-13,,Security review pending for integration approach,SyntheticPlanview
LB-00377,PJ-300-01-05,Dependency,Open,High,R. Patel,2026-02-28,,Security review pending for integration approach,SyntheticPlanview
LB-00378,PJ-200-01-02,Risk,Mitigated,Medium,R. Patel,2026-02-09,2026-02-10,Budget variance requires follow-up with finance,SyntheticPlanview
LB-00379,PJ-300-01-01,Dependency,Open,Critical,R. Patel,2026-05-17,,Vendor dependency may impact release schedule,SyntheticPlanview
LB-00380,PJ-200-03-03,Issue,Mitigated,Low,L. Brown,2026-07-24,2026-09-01,Budget variance requires follow-up with finance,SyntheticPlanview
LB-00381,PJ-100-03-03,Dependency,Blocked,Critical,M. Chen,2026-04-16,,Data mapping requires architecture decision,SyntheticPlanview
LB-00382,PJ-300-03-02,Decision,Closed,Low,S. Jones,2026-04-10,2026-04-25,Change request approved by steering group,SyntheticPlanview
LB-00383,PJ-200-01-01,Decision,Blocked,High,K. Davis,2026-05-13,,Change request approved by steering group,SyntheticPlanview
LB-00384,PJ-300-01-05,Issue,Mitigated,Low,M. Chen,2026-07-27,2026-08-23,Data mapping requires architecture decision,SyntheticPlanview
LB-00385,PJ-200-01-04,Dependency,Closed,High,K. Davis,2026-01-29,2026-03-10,Implementation team blocked by missing requirement,SyntheticPlanview
LB-00386,PJ-300-01-02,Issue,Mitigated,Low,L. Brown,2026-02-18,2026-02-20,Vendor dependency may impact release schedule,SyntheticPlanview
LB-00387,PJ-100-03-02,Issue,Mitigated,Critical,K. Davis,2026-01-27,2026-02-14,Vendor dependency may impact release schedule,SyntheticPlanview
LB-00388,PJ-100-03-05,Risk,In Review,Critical,M. Chen,2026-01-24,,Budget variance requires follow-up with finance,SyntheticPlanview
LB-00389,PJ-200-03-02,Dependency,Closed,Low,R. Patel,2026-03-21,2026-04-14,Vendor dependency may impact release schedule,SyntheticPlanview
LB-00390,PJ-100-02-05,Risk,Mitigated,Critical,M. Chen,2026-01-15,2026-02-10,Data mapping requires architecture decision,SyntheticPlanview
LB-00391,PJ-200-01-02,Risk,Closed,Medium,S. Jones,2026-07-29,2026-07-30,Security review pending for integration approach,SyntheticPlanview
LB-00392,PJ-200-01-01,Issue,Open,Critical,K. Davis,2026-07-08,,Vendor dependency may impact release schedule,SyntheticPlanview
LB-00393,PJ-300-01-04,Dependency,In Review,Critical,K. Davis,2026-06-20,,Budget variance requires follow-up with finance,SyntheticPlanview
LB-00394,PJ-200-02-01,Assumption,Open,Low,R. Patel,2026-02-10,,Security review pending for integration approach,SyntheticPlanview
LB-00395,PJ-300-03-01,Decision,In Review,Low,K. Davis,2026-03-18,,Data mapping requires architecture decision,SyntheticPlanview
LB-00396,PJ-100-02-03,Risk,Closed,Medium,R. Patel,2026-03-02,2026-03-23,Implementation team blocked by missing requirement,SyntheticPlanview
LB-00397,PJ-100-02-03,Risk,In Review,Low,L. Brown,2026-04-12,,Change request approved by steering group,SyntheticPlanview
LB-00398,PJ-300-01-01,Issue,Blocked,High,A. Smith,2026-06-26,,Data mapping requires architecture decision,SyntheticPlanview
LB-00399,PJ-100-03-01,Assumption,Open,High,K. Davis,2026-05-08,,Vendor dependency may impact release schedule,SyntheticPlanview
LB-00400,PJ-100-01-04,Assumption,In Review,Low,M. Chen,2026-04-02,,Security review pending for integration approach,SyntheticPlanview
LB-00401,PJ-100-03-05,Decision,Blocked,Critical,K. Davis,2026-03-23,,Data mapping requires architecture decision,SyntheticPlanview
LB-00402,PJ-100-01-02,Issue,Closed,High,A. Smith,2026-06-26,2026-07-19,Security review pending for integration approach,SyntheticPlanview
LB-00403,PJ-200-03-04,Dependency,Mitigated,Medium,L. Brown,2026-05-24,2026-06-28,Data mapping requires architecture decision,SyntheticPlanview
LB-00404,PJ-300-01-05,Decision,Mitigated,Medium,A. Smith,2026-03-31,2026-04-30,Implementation team blocked by missing requirement,SyntheticPlanview
LB-00405,PJ-100-02-05,Assumption,Mitigated,High,S. Jones,2026-04-26,2026-05-13,Vendor dependency may impact release schedule,SyntheticPlanview
LB-00406,PJ-300-03-01,Risk,Closed,High,L. Brown,2026-05-10,2026-05-22,Data mapping requires architecture decision,SyntheticPlanview
LB-00407,PJ-200-02-01,Assumption,Open,Critical,M. Chen,2026-07-04,,Implementation team blocked by missing requirement,SyntheticPlanview
LB-00408,PJ-300-03-04,Issue,Blocked,High,R. Patel,2026-05-08,,Security review pending for integration approach,SyntheticPlanview
LB-00409,PJ-300-03-02,Risk,Open,Low,A. Smith,2026-03-24,,Data mapping requires architecture decision,SyntheticPlanview
LB-00410,PJ-100-03-02,Issue,Open,Low,S. Jones,2026-08-12,,Data mapping requires architecture decision,SyntheticPlanview
LB-00411,PJ-100-02-02,Dependency,Blocked,Critical,L. Brown,2026-01-09,,Implementation team blocked by missing requirement,SyntheticPlanview
